"","AUDUSD","BZ","CHFUSD","EURUSD","GC","PL","SPX","USDNOK"
"281022",0.6409,94.16,1.0035,0.9963,1648.3,949.5,3901.06,10.3296
"311022",0.64092,92.85,0.998,0.98854,1640.4,932.1,3871.98,10.3887
"11122",0.63956,94.77,0.99987,0.98769,1653.8,951.7,3856.1,10.34837
"21122",0.63372,95.52,0.9962,0.98136,1640,937.2,3759.69,10.4719
"31122",0.62873,94.55,0.9864,0.97488,1641.3,921.4,3719.89,10.5796
"41122",0.64681,98.75,1.0058,0.99581,1685.7,967.7,3770.55,10.23405
"71122",0.64739,97.93,1.01092,1.00173,1672.7,990.2,3806.8,10.2193
"81122",0.65084,95.05,1.01534,1.00799,1711.4,1012.1,3828.11,10.2244
"91122",0.64305,92.47,1.01647,1.0019,1712.8,998.1,3748.57,10.36613
"101122",0.66057,93.34,1.03591,1.01917,1756.1,1047,3956.37,10.0951
"111122",0.67031,95.76,1.0621,1.03538,1774.2,1043.7,3992.93,9.9231
"141122",0.66925,92.5,1.05973,1.03197,1774,1026.3,3957.25,10.0427
"151122",0.6769,93.77,1.06015,1.03573,1775.1,1028.7,3991.73,9.979
"161122",0.67388,92.61,1.05852,1.0393,1765,1014.9,3958.79,9.99612
"171122",0.66873,90.02,1.04908,1.03604,1764.7,992.3,3946.56,10.11745
"181122",0.6671,87.74,1.0473,1.0324,1752,986.4,3965.34,10.1866
"211122",0.6607,87.79,1.04292,1.02449,1746.1,989.7,3949.94,10.25224
"221122",0.66492,88.35,1.05103,1.0309,1735.2,1000.8,4003.58,10.09521
"231122",0.67451,84.65,1.0622,1.04177,1756,1007.5,4027.26,9.93377
"251122",0.6748,83.91,1.0572,1.0395,1755,989.6,4026.12,9.8844
"281122",0.66514,83.24,1.05345,1.03431,1752.5,996.9,3963.94,10.01698
"291122",0.66826,84.94,1.04728,1.03234,1767.8,1010.5,3957.63,10.0042
"301122",0.67988,86.64,1.0592,1.04232,1793.4,1051.6,4080.11,9.8221
"11222",0.68105,87.26,1.06754,1.0528,1811.4,1055.9,4076.57,9.70996
"21222",0.6791,85.42,1.067,1.05315,1811.4,1025.3,4071.7,9.75918
"51222",0.6706,83,1.06079,1.04956,1784.2,1006.5,3998.84,9.94
"61222",0.66973,79.72,1.06123,1.0467,1782.5,996.2,3941.26,10.01158
"71222",0.67247,77.39,1.06304,1.05111,1795.1,1013,3933.92,10.0139
"81222",0.67748,76.51,1.06797,1.05551,1807.2,1015.2,3963.51,9.95575
"91222",0.6793,76.82,1.0694,1.053,1809.4,1036.6,3934.38,9.98909
"121222",0.67515,78.02,1.06832,1.05412,1793.3,1010.4,3990.56,9.97775
"131222",0.68411,80.89,1.07605,1.06241,1822.1,1041.4,4019.65,9.7739
"141222",0.68575,82.8,1.08121,1.06757,1801.1,1036.4,3995.32,9.7188
"151222",0.6705,81.45,1.07761,1.06387,1788.3,1013.3,3895.75,9.84915
"161222",0.66905,79.26,1.0682,1.0584,1803,999.1,3852.36,9.8906
"191222",0.67048,80.1,1.0764,1.06117,1799,987.8,3817.66,9.89297
"201222",0.66876,79.68,1.07912,1.06247,1824.1,1012.6,3821.62,9.8668
"211222",0.67121,82.28,1.0788,1.06074,1829.1,1003.3,3878.44,9.8282
"221222",0.66753,81.69,1.0735,1.06007,1802.3,984.3,3822.39,9.86902
"231222",0.6717,83.97,1.0712,1.06172,1806,1030.9,3844.82,9.882
"271222",0.67287,85.16,1.07551,1.06365,1819.1,1024.5,3829.25,9.81758
"281222",0.67463,83.77,1.07732,1.0628,1815.7,1010.9,3783.22,9.8767
"291222",0.67652,83.73,1.08298,1.066,1822.7,1067.1,3849.28,9.8897
"301222",0.6813,85.99,1.0767,1.0702,1830.1,1086,3839.5,9.798
"30123",0.6725,82.46,1.06783,1.05451,1852.6,1091.4,3824.14,10.0871
"40123",0.68278,78.1,1.07533,1.06055,1857.5,1089.6,3852.97,10.0859
"50123",0.67517,78.88,1.06785,1.05204,1842.6,1067,3808.1,10.2475
"60123",0.6875,78.6,1.0774,1.06413,1870.5,1104.4,3895.08,10.00125
"90123",0.69087,79.8,1.08537,1.0732,1875.4,1092.7,3892.09,9.907
"100123",0.68926,79.62,1.08386,1.07385,1881.8,1091.2,3919.25,9.9727
"110123",0.6909,82.91,1.07389,1.07654,1887.5,1083,3969.61,9.98414
"120123",0.69665,83.82,1.07811,1.0859,1898.7,1080.4,3983.17,9.88301
"130123",0.69734,85.43,1.079,1.08319,1923,1075,3999.09,9.85535
"170123",0.69874,86.7,1.08428,1.07892,1901.6,1048.2,3990.97,9.8773
"180123",0.69429,84.64,1.09136,1.07969,1911.3,1047,3928.86,9.91136
"190123",0.69116,86.38,1.0915,1.08331,1925.6,1041.2,3898.85,9.9016
"200123",0.69675,87.66,1.0862,1.0855,1927.7,1051.9,3972.61,9.86225
"230123",0.70283,88.15,1.08459,1.0871,1934,1058.3,4019.81,9.81802
"240123",0.70503,86.42,1.08405,1.0889,1929.8,1064.6,4016.95,9.86199
"250123",0.71068,86.18,1.08994,1.09206,1947,1049.7,4016.22,9.8917
"260123",0.71129,87.49,1.08645,1.0893,1921.8,1026.8,4060.43,9.8613
"270123",0.7103,86.21,1.0858,1.08649,1927.6,1019,4070.56,9.8776
"300123",0.70572,84.64,1.08041,1.08492,1935.4,1017.2,4017.77,9.97604
"310123",0.70502,85.53,1.09095,1.08607,1941.4,1018.1,4076.6,9.97899
"10223",0.71471,83.06,1.1018,1.10122,1968.7,1015,4119.21,9.88279
"20223",0.70725,82.1,1.0946,1.09043,1929.9,1029.7,4179.76,10.04246
"30223",0.6917,79.82,1.0795,1.0793,1877.7,980,4136.48,10.21099
"60223",0.68879,81.4,1.0771,1.0729,1885.6,977.8,4111.08,10.33041
"70223",0.6964,84.09,1.08479,1.07299,1889.3,982.1,4164,10.3115
"80223",0.6928,85.02,1.0856,1.07151,1891.1,974.6,4117.86,10.3089
"90223",0.6937,84.08,1.08408,1.07387,1864.8,961,4081.5,10.1773
"100223",0.69143,86.06,1.0822,1.06754,1876.4,951.3,4090.46,10.13707
"130223",0.69679,85.78,1.088,1.0729,1868.4,961.1,4137.29,10.0856
"140223",0.69869,85.25,1.08486,1.07349,1858.3,935.4,4136.13,10.13522
"150223",0.69063,85.28,1.0826,1.0691,1848.9,919.7,4147.6,10.2074
"160223",0.68616,84.82,1.0788,1.06647,1836,921.5,4090.41,10.26086
"170223",0.6877,83.15,1.0817,1.0694,1851.3,920.8,4079.09,10.27297
"210223",0.68629,82.73,1.07776,1.065,1845,945.5,3997.34,10.29444
"220223",0.68112,80.47,1.07355,1.06048,1837.6,951.1,3991.05,10.3478
"230223",0.68078,82.43,1.07073,1.05972,1832.9,948.3,4012.32,10.3008
"240223",0.67212,82.85,1.0622,1.05437,1818,909.4,3970.04,10.38172
"270223",0.67399,82.06,1.06848,1.06097,1821,938.3,3982.24,10.33345
"280223",0.67298,83.11,1.0613,1.05766,1836.8,942.4,3970.15,10.3827
"10323",0.67592,84.43,1.064,1.0668,1840.4,951.2,3951.39,10.3773
"60323",0.67309,86.25,1.07421,1.06849,1852.5,979.5,4048.42,10.41212
"70323",0.65887,83.08,1.061,1.05484,1815.6,934.7,3986.37,10.69122
"80323",0.65939,82.52,1.06251,1.0549,1817.8,941.5,3992.01,10.6756
"90323",0.65883,81.56,1.07163,1.05847,1833.7,945.5,3918.32,10.66044
"100323",0.658,82.64,1.085,1.06386,1872.7,963.2,3861.59,10.62636
"140323",0.6687,77.61,1.09307,1.07264,1907.1,990,3919.29,10.54681
"150323",0.66169,74.27,1.07322,1.05815,1916.8,968.6,3891.93,10.75413
"160323",0.66633,74.71,1.0759,1.06136,1931.9,982.6,3960.28,10.7476
"170323",0.6695,72.47,1.079,1.06639,1993.7,980.9,3916.64,10.7029
"200323",0.67161,73.77,1.07576,1.07186,1987.6,995.6,3951.57,10.6419
"210323",0.66778,75.07,1.08457,1.07726,1942.4,979.1,4002.87,10.5396
"220323",0.66971,75.47,1.09056,1.0869,1979.4,992.3,3959.21,10.44207
"230323",0.66808,75.15,1.09047,1.08342,1995.4,990.5,3948.72,10.39822
"240323",0.6645,74.61,1.0866,1.07588,1981,986.3,3970.99,10.47941
"270323",0.66588,77.76,1.09236,1.08064,1960.5,980.3,3977.53,10.4559
"280323",0.67058,78.42,1.08616,1.08386,1967.5,962.6,3971.27,10.36025
"290323",0.66813,77.53,1.08879,1.08424,1959.8,965.6,4027.81,10.4173
"300323",0.67151,78.56,1.09451,1.09042,1998.8,996.2,4050.83,10.3945
"310323",0.6685,79.93,1.0923,1.08381,1987,1000.3,4109.31,10.46453
"30423",0.67856,84.78,1.09515,1.09064,1995.4,998.2,4124.51,10.277
"40423",0.67595,85.26,1.10377,1.09569,2039.7,1029.3,4100.6,10.30112
"50423",0.67154,84.88,1.10292,1.09025,2027.9,1011.7,4090.38,10.4498
"60423",0.66734,84.94,1.10516,1.09191,2023.7,1017,4105.02,10.4431
"100423",0.66481,84.31,1.0998,1.0869,2012.7,1004.9,4109.11,10.5169
"110423",0.66523,85.62,1.1069,1.09159,2032.1,1006.4,4108.94,10.5587
"120423",0.66963,87.23,1.11591,1.09968,2031.6,1030.7,4091.95,10.43723
"130423",0.67834,86.31,1.1244,1.10517,2059.4,1063.7,4146.22,10.3046
"140423",0.6708,86.63,1.1182,1.0991,2017.7,1058.5,4137.64,10.3704
"170423",0.6698,84.83,1.11265,1.09245,2012.2,1062.5,4151.32,10.4802
"180423",0.6735,84.87,1.1156,1.09744,2015.9,1096.7,4154.87,10.4651
"190423",0.67047,82.88,1.1135,1.09509,2004.4,1101.6,4154.52,10.5882
"200423",0.67423,80.86,1.1202,1.09672,2013.5,1110.5,4129.79,10.58568
"210423",0.669,81.88,1.1202,1.0988,1994.1,1141.3,4133.52,10.5733
"240423",0.67027,82.54,1.12705,1.1057,2002.8,1102.9,4137.04,10.52286
"250423",0.66359,80.76,1.12091,1.09779,2004.6,1108.1,4071.63,10.67
"260423",0.66078,77.77,1.12229,1.1045,2008.5,1105.1,4055.99,10.6251
"270423",0.66299,78.28,1.11843,1.10316,1997.6,1094,4135.35,10.61263
"280423",0.66112,80.34,1.1175,1.10144,1999.4,1088.5,4169.48,10.6484
"10523",0.66223,79.4,1.1157,1.09686,1990.6,1064.1,4167.87,10.7424
"20523",0.66762,75.23,1.1202,1.09578,2027.3,1074.4,4119.58,10.804
"30523",0.66412,71.93,1.13165,1.10682,2049.7,1069.9,4090.75,10.762
"40523",0.66958,72.54,1.1289,1.10229,2057.9,1053.5,4061.22,10.6779
"50523",0.6748,75.31,1.1223,1.10174,2025.7,1068.7,4136.25,10.5601
"80523",0.67805,76.61,1.12332,1.09965,2032.3,1085.2,4138.12,10.503
"90523",0.67663,77.28,1.12311,1.09644,2038.6,1116.4,4119.17,10.5636
"100523",0.67807,76.59,1.12406,1.09826,2038.4,1126.3,4137.64,10.4996
"110523",0.6699,75.43,1.11803,1.09116,2016.5,1102.3,4130.62,10.6765
"120523",0.66391,74.22,1.1126,1.0847,2015.7,1058.1,4124.08,10.6757
"150523",0.67011,75.56,1.1165,1.08733,2021.3,1070.7,4136.28,10.5944
"160523",0.66576,74.75,1.115,1.08649,1994.8,1068.3,4109.9,10.7183
"170523",0.66548,76.78,1.1124,1.08375,1984.9,1079.2,4158.77,10.7711
"180523",0.66267,75.95,1.1047,1.07745,1965.5,1058.6,4198.05,10.9148
"190523",0.665,75.79,1.1114,1.08019,1979.2,1071.7,4191.98,10.8709
"220523",0.66477,75.94,1.11293,1.081,1964.6,1075.9,4192.63,10.903
"230523",0.66135,77.5,1.10905,1.0769,1978.3,1060.3,4145.58,10.9571
"240523",0.65427,78.34,1.1054,1.07556,1957.8,1031.1,4115.24,10.9551
"250523",0.6498,76.23,1.1044,1.07232,1948.4,1026.5,4151.28,11.0551
"260523",0.6517,77.09,1.1045,1.0725,1946.8,1029.1,4205.45,11.0782
"300523",0.65174,73.69,1.1033,1.07316,1976.4,1027.9,4205.52,11.1811
"310523",0.65059,72.13,1.0985,1.06935,1981.5,1001.5,4179.83,11.05994
"10623",0.65768,74.32,1.1036,1.07606,1999.6,1009.3,4221.02,11.05181
"20623",0.66042,76.29,1.0999,1.0706,1964.9,1008.7,4282.37,11.0124
"50623",0.66126,76.6,1.1033,1.07114,1975,1034.6,4273.79,11.03575
"60623",0.66801,76.12,1.1018,1.06982,1979.3,1040.1,4283.85,11.0913
"70623",0.66582,76.8,1.09912,1.07069,1960.7,1026.6,4267.52,11.04427
"80623",0.6712,75.52,1.112,1.07811,1978.7,1015.6,4293.93,10.90028
"90623",0.6739,74.97,1.1068,1.0747,1975.5,1013.2,4298.86,10.75012
"120623",0.67524,72.11,1.10042,1.0762,1975.8,997.8,4338.93,10.79728
"130623",0.6766,74.19,1.1044,1.07947,1962.4,983.6,4369.01,10.64067
